iteration,area,lev,command
39,40267,101,"rfz;rwz;rs"
42,40202,101,"rfz;rwz;rs"
45,40192,100,"rfz;rwz;rs"
48,40168,100,"rfz;rwz;rs"
51,40151,100,"rfz;rwz;rs"
54,40136,100,"rfz;rwz;rs"
57,40123,100,"rfz;rwz;rs"
60,40089,100,"rfz;rwz;rs"
63,40084,100,"rfz;rwz;rs"
66,40079,100,"rfz;rwz;rs"
69,40073,100,"rfz;rwz;rs"
72,40054,100,"rfz;rwz;rs"
75,40043,100,"rfz;rwz;rs"
78,40033,100,"rfz;rwz;rs"
81,40024,100,"rfz;rwz;rs"
84,40015,100,"rfz;rwz;rs"
87,40002,100,"rfz;rwz;rs"
90,39996,100,"rfz;rwz;rs"
93,39990,100,"rfz;rwz;rs"
96,39973,100,"rfz;rwz;rs"
99,39970,100,"rfz;rwz;rs"
102,39967,100,"rfz;rwz;rs"
105,39967,100,"rfz;rwz;rs"
108,39896,100,"rfz;rwz;rs"
111,39823,100,"rfz;rwz;rs"
114,39799,100,"rfz;rwz;rs"
117,39698,100,"rfz;rwz;rs"
120,39637,100,"rfz;rwz;rs"
123,39602,100,"rfz;rwz;rs"
126,39584,100,"rfz;rwz;rs"
129,39571,100,"rfz;rwz;rs"
132,39556,100,"rfz;rwz;rs"
135,39542,100,"rfz;rwz;rs"
138,39531,100,"rfz;rwz;rs"
141,39527,100,"rfz;rwz;rs"
144,39523,100,"rfz;rwz;rs"
147,39522,100,"rfz;rwz;rs"
150,39521,100,"rfz;rwz;rs"
153,39521,99,"rfz;rwz;rs"
156,39521,99,"rfz;rwz;rs"
159,39521,99,"rfz;rwz;rs"
162,39516,99,"rfz;rwz;rs"
165,39513,99,"rfz;rwz;rs"
168,39511,99,"rfz;rwz;rs"
171,39507,99,"rfz;rwz;rs"
174,39501,99,"rfz;rwz;rs"
177,39500,99,"rfz;rwz;rs"
180,39500,99,"rfz;rwz;rs"
183,39500,99,"rfz;rwz;rs"
186,39500,99,"rfz;rwz;rs"
189,39500,99,"rfz;rwz;rs"
192,39500,99,"rfz;rwz;rs"
195,39500,99,"rfz;rwz;rs"
198,39499,99,"rfz;rwz;rs"
201,39499,99,"rfz;rwz;rs"
204,39499,99,"rfz;rwz;rs"
207,39499,99,"rfz;rwz;rs"
210,39499,99,"rfz;rwz;rs"
213,39499,99,"rfz;rwz;rs"
216,39499,99,"rfz;rwz;rs"
0,46836,114,"rwz;rfz;rs"
3,45213,114,"rwz;rfz;rs"
6,43586,114,"rwz;rfz;rs"
9,42387,114,"rwz;rfz;rs"
12,41672,110,"rwz;rfz;rs"
15,41158,110,"rwz;rfz;rs"
18,40801,110,"rwz;rfz;rs"
21,40604,110,"rwz;rfz;rs"
24,40326,110,"rwz;rfz;rs"
27,40155,109,"rwz;rfz;rs"
30,40036,102,"rwz;rfz;rs"
33,39869,101,"rwz;rfz;rs"
36,39786,100,"rwz;rfz;rs"
39,39698,99,"rwz;rfz;rs"
42,39629,99,"rwz;rfz;rs"
45,39535,99,"rwz;rfz;rs"
48,39454,98,"rwz;rfz;rs"
51,39379,97,"rwz;rfz;rs"
54,39333,96,"rwz;rfz;rs"
57,39312,95,"rwz;rfz;rs"
60,39286,95,"rwz;rfz;rs"
63,39271,95,"rwz;rfz;rs"
66,39251,95,"rwz;rfz;rs"
69,39239,94,"rwz;rfz;rs"
72,39224,94,"rwz;rfz;rs"
75,39212,94,"rwz;rfz;rs"
78,39207,94,"rwz;rfz;rs"
81,39196,94,"rwz;rfz;rs"
84,39190,94,"rwz;rfz;rs"
87,39177,94,"rwz;rfz;rs"
90,39167,94,"rwz;rfz;rs"
93,39164,94,"rwz;rfz;rs"
96,39160,94,"rwz;rfz;rs"
99,39158,94,"rwz;rfz;rs"
102,39155,94,"rwz;rfz;rs"
105,39152,94,"rwz;rfz;rs"
108,39148,94,"rwz;rfz;rs"
111,39146,94,"rwz;rfz;rs"
114,39145,94,"rwz;rfz;rs"
117,39144,94,"rwz;rfz;rs"
120,39143,94,"rwz;rfz;rs"
123,39139,94,"rwz;rfz;rs"
126,39139,94,"rwz;rfz;rs"
129,39139,94,"rwz;rfz;rs"
132,39139,94,"rwz;rfz;rs"
135,39138,94,"rwz;rfz;rs"
138,39138,94,"rwz;rfz;rs"
141,39138,94,"rwz;rfz;rs"
144,39138,94,"rwz;rfz;rs"
147,39138,94,"rwz;rfz;rs"
150,39138,94,"rwz;rfz;rs"
153,39138,94,"rwz;rfz;rs"
